restaurant,category,name,description,price_cents,currency,image_url,item_url
Pressed Cafe,Menu,Fresh Croissants,,400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/cabe8634-548b-4d35-896f-9e5086dbb315/Croissant_Olo.png,
Pressed Cafe,Menu,Greek Chicken,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/92df82c7-b07d-44cc-a873-d577e5e07de8/Greek-Chicken.png,
Pressed Cafe,Menu,Greek Chicken Farro Bowl,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/3971b9d0-c27a-4e80-affe-1e8c7e899392/Greek-Vegetable-Chicken-Farro.png,
Pressed Cafe,Menu,Health Nut Smoothie,,,,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/62e14186-b439-4455-8f88-6cbc1f248b9a/Healthnut.png,
Pressed Cafe,Menu,Hibiscus Sangria Tea (Iced Only),,400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/8f2e0692-e542-4ef6-aa79-1410bc2b1ce6/HibiscusSangriaTea_3.jpg,
Pressed Cafe,Menu,House Fruit Cup,,1000,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/357ee041-df6e-4269-b691-91f2ae1f9fd7/ChatGPT-Image-May-8-2026-08_35_23-AM.jpg,
Pressed Cafe,Menu,House-Made Granola Bars,,450,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/79e2a192-d4af-42aa-9011-52fbd8e4ec6e/GranolaBars_Olo.png,
Pressed Cafe,Menu,Humina Humina Toast,,1300,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/8d9dcd43-e000-4dea-9d33-bb5ef0486deb/Humina-Humina.png,
Pressed Cafe,Menu,Jammy Egg and Cheddar Toast,,1200,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/85b7dc63-12f7-42a7-91a8-f38d1c98d2a9/ncp-43-of-91-.jpg,
Pressed Cafe,Menu,Jerusalem Mezze Plate*,,1700,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/a3eeba5d-4637-4185-a2c4-d5a2a0a70c1a/JERUSALEM-MEZZE-PLATE.png,
Pressed Cafe,Menu,Kefta Kebab Bowl,,1700,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/b5066371-38a7-4fc4-a8a9-5d1ab5ae2cc0/ncp-11-of-91-.jpg,
Pressed Cafe,Menu,Lu Lu Melt,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/cc4c45f1-726c-4651-8b6c-eaf7f8afd95f/Lu-Lu-Melt.png,
Pressed Cafe,Menu,Luck of the Irish Burrito,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/3a9b42b3-2428-4386-9a77-b47383ea282b/Luck-of-the-Irish.png,
Pressed Cafe,Menu,Magic Mushroom Melt,,1700,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/55cea917-98c9-41e7-9abc-b99465b18d66/ncp-66-of-91-.jpg,
Pressed Cafe,Menu,Mango Passion Fruit Smoothie,,,,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/6f7f2c2a-77f4-49b1-a8df-421716ae4af8/Mango-PS.png,
Pressed Cafe,Menu,Meat Lover Burrito,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/37f1ec40-376d-4302-bda4-123358d0dfcc/Meat-Lover-Burrito.png,
Pressed Cafe,Menu,Mediterranean Cauliflower,,1300,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/25a0dfef-6199-46de-9f9a-9d46199af5ea/ncp_-323-of-473-.jpg,
Pressed Cafe,Menu,Mediterranean Grain,,1500,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/0372525e-b272-425b-953b-b7c3ba1ed9af/ncp-76-of-91-.jpg,
Pressed Cafe,Menu,Mexicali Bowl,,1400,USD,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/4b1804af-23bd-4fbe-999f-ee4a79cb5415/Mexi-Cali-Bowl.png,
